Ticker,Date,Open,High,Low,Close,Volume
GOOG,25-Sep-15,629.77,629.77,611.00,611.97,2174009
GOOG,24-Sep-15,616.64,627.32,612.40,625.80,2240098
GOOG,23-Sep-15,622.05,628.93,620.00,622.36,1470949
GOOG,22-Sep-15,627.00,627.55,615.43,622.69,2562869
GOOG,21-Sep-15,634.40,636.49,625.94,635.44,1788506
GOOG,18-Sep-15,636.79,640.00,627.02,629.25,5133386
GOOG,17-Sep-15,637.79,650.90,635.02,642.90,2274690
GOOG,16-Sep-15,635.47,637.95,632.32,635.98,1286454
GOOG,15-Sep-15,626.70,638.70,623.78,635.14,2084397
GOOG,14-Sep-15,625.70,625.86,619.43,623.24,1702271
GOOG,11-Sep-15,619.75,625.78,617.42,625.77,1373545
GOOG,10-Sep-15,613.10,624.16,611.43,621.35,1900526
GOOG,9-Sep-15,621.22,626.52,609.60,612.72,1702094
GOOG,8-Sep-15,612.49,616.31,604.12,614.66,2279538
GOOG,4-Sep-15,600.00,603.47,595.25,600.70,2089453
GOOG,3-Sep-15,617.00,619.71,602.82,606.25,1759572
GOOG,2-Sep-15,605.59,614.34,599.71,614.34,2575620
GOOG,1-Sep-15,602.36,612.86,594.10,597.79,3702105
GOOG,31-Aug-15,627.54,635.80,617.68,618.25,2176737
GOOG,28-Aug-15,632.82,636.88,624.56,630.38,1978733
GOOG,27-Aug-15,639.40,643.59,622.00,637.61,3491336
GOOG,26-Aug-15,610.35,631.71,599.05,628.62,4235891
GOOG,25-Aug-15,614.91,617.45,581.11,582.06,3537966
GOOG,24-Aug-15,573.00,614.00,565.05,589.61,5770302
GOOG,21-Aug-15,639.78,640.05,612.33,612.48,4265183
GOOG,20-Aug-15,655.46,662.99,642.90,646.83,2855299
GOOG,19-Aug-15,656.60,667.00,654.19,660.90,2134098
GOOG,18-Aug-15,661.90,664.00,653.46,656.13,1456059
GOOG,17-Aug-15,656.80,661.38,651.24,660.87,1051699
GOOG,14-Aug-15,655.01,659.86,652.66,657.12,1072061
GOOG,13-Aug-15,659.32,664.50,651.66,656.45,1810749
GOOG,12-Aug-15,663.08,665.00,652.29,659.56,2940803
GOOG,11-Aug-15,669.20,674.90,654.27,660.78,5029203
GOOG,10-Aug-15,639.48,643.44,631.25,633.73,1809205
GOOG,7-Aug-15,640.23,642.68,629.71,635.30,1403865
GOOG,6-Aug-15,645.00,645.38,632.25,642.68,1572600
GOOG,5-Aug-15,634.33,647.86,633.16,643.78,2334266
GOOG,4-Aug-15,628.42,634.81,627.16,629.25,1490881
GOOG,3-Aug-15,625.34,633.06,625.34,631.21,1304511
GOOG,31-Jul-15,631.38,632.91,625.50,625.61,1706149
GOOG,30-Jul-15,630.00,635.22,622.05,632.59,1474203
GOOG,29-Jul-15,628.80,633.36,622.65,631.93,1575069
GOOG,28-Jul-15,632.83,632.83,623.31,628.00,1727327
GOOG,27-Jul-15,621.00,634.30,620.50,627.26,2675381
GOOG,24-Jul-15,647.00,648.17,622.52,623.56,3625747
GOOG,23-Jul-15,661.27,663.63,641.00,644.28,3029109
GOOG,22-Jul-15,660.89,678.64,659.00,662.10,3929309
GOOG,21-Jul-15,655.21,673.00,654.30,662.30,3377196
GOOG,20-Jul-15,659.24,668.88,653.01,663.02,5860872
GOOG,17-Jul-15,649.00,674.47,645.00,672.93,11164943
GOOG,16-Jul-15,565.12,580.68,565.00,579.85,4768318
GOOG,15-Jul-15,560.13,566.50,556.79,560.22,1784554
GOOG,14-Jul-15,546.76,565.85,546.71,561.10,3244066
GOOG,13-Jul-15,532.88,547.11,532.40,546.55,2206475
GOOG,10-Jul-15,526.29,532.56,525.55,530.13,1956682
GOOG,9-Jul-15,523.12,523.77,520.35,520.68,1842347
GOOG,8-Jul-15,521.05,522.73,516.11,516.83,1296699
GOOG,7-Jul-15,523.13,526.18,515.18,525.02,1597229
GOOG,6-Jul-15,519.50,525.25,519.00,522.86,1280525
GOOG,2-Jul-15,521.08,524.65,521.08,523.40,1235903
GOOG,1-Jul-15,524.73,525.69,518.23,521.84,1961354
GOOG,30-Jun-15,526.02,526.25,520.50,520.51,2235595
GOOG,29-Jun-15,525.01,528.61,520.54,521.52,1937821
GOOG,26-Jun-15,537.26,537.76,531.35,531.69,2109130
GOOG,25-Jun-15,538.87,540.90,535.23,535.23,1335697
GOOG,24-Jun-15,540.00,540.00,535.66,537.84,1286608
GOOG,23-Jun-15,539.64,541.50,535.25,540.48,1197450
GOOG,22-Jun-15,539.59,543.74,537.53,538.19,1250282
GOOG,19-Jun-15,537.21,538.25,533.01,536.69,1893497
GOOG,18-Jun-15,531.00,538.15,530.79,536.73,1833109
GOOG,17-Jun-15,529.37,530.98,525.10,529.26,1294216
GOOG,16-Jun-15,528.40,529.64,525.56,528.15,1071814
GOOG,15-Jun-15,528.00,528.30,524.00,527.20,1632702
GOOG,12-Jun-15,531.60,533.12,530.16,532.33,955789
GOOG,11-Jun-15,538.42,538.98,533.02,534.61,1217536
GOOG,10-Jun-15,529.36,538.36,529.35,536.69,1814958
GOOG,9-Jun-15,527.56,529.20,523.01,526.69,1455266
GOOG,8-Jun-15,533.31,534.12,526.24,526.83,1524139
GOOG,5-Jun-15,536.35,537.20,532.52,533.33,1388220
GOOG,4-Jun-15,537.76,540.59,534.32,536.70,1348337
GOOG,3-Jun-15,539.91,543.50,537.11,540.31,1717036
GOOG,2-Jun-15,532.93,543.00,531.33,539.18,1938989
GOOG,1-Jun-15,536.79,536.79,529.76,533.99,1904332
GOOG,29-May-15,537.37,538.63,531.45,532.11,2597407
GOOG,28-May-15,538.01,540.61,536.25,539.78,1029849
GOOG,27-May-15,532.80,540.55,531.71,539.79,1525019
GOOG,26-May-15,538.12,539.00,529.88,532.32,2406512
GOOG,22-May-15,540.15,544.19,539.51,540.11,1176214
GOOG,21-May-15,537.95,543.84,535.98,542.51,1462695
GOOG,20-May-15,538.49,542.92,532.97,539.27,1430826
GOOG,19-May-15,533.98,540.66,533.04,537.36,1966947
GOOG,18-May-15,532.01,534.82,528.85,532.30,2003421
GOOG,15-May-15,539.18,539.27,530.38,533.85,1971343
GOOG,14-May-15,533.77,539.00,532.41,538.40,1403935
GOOG,13-May-15,530.56,534.32,528.66,529.62,1253063
GOOG,12-May-15,531.60,533.21,525.26,529.04,1634174
GOOG,11-May-15,538.37,541.98,535.40,535.70,905285
GOOG,8-May-15,536.65,541.15,536.00,538.22,1527615
GOOG,7-May-15,523.99,533.46,521.75,530.70,1546278
GOOG,6-May-15,531.24,532.38,521.08,524.22,1566987
GOOG,5-May-15,538.21,539.74,530.39,530.80,1383068
GOOG,4-May-15,538.53,544.07,535.06,540.78,1307960
GOOG,1-May-15,538.43,539.54,532.10,537.90,1768181
GOOG,30-Apr-15,547.87,548.59,535.05,537.34,2082214
GOOG,29-Apr-15,550.47,553.68,546.90,549.08,1698761
GOOG,28-Apr-15,554.64,556.02,550.37,553.68,1490983
GOOG,27-Apr-15,563.39,565.95,553.20,555.37,2398039
GOOG,24-Apr-15,566.10,571.14,557.25,565.06,4919031
GOOG,23-Apr-15,541.00,550.96,540.23,547.00,4173376
GOOG,22-Apr-15,534.40,541.08,531.75,539.36,1589248
GOOG,21-Apr-15,537.51,539.39,533.68,533.97,1839668
GOOG,20-Apr-15,525.60,536.09,524.50,535.38,1675487
GOOG,17-Apr-15,528.66,529.84,521.01,524.05,2145955
GOOG,16-Apr-15,529.90,535.59,529.61,533.80,1296304
GOOG,15-Apr-15,528.70,534.73,523.22,532.53,2312512
GOOG,14-Apr-15,536.25,537.57,528.09,530.39,2597043
